x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y
1.44,46295,45679,42767,41756,6360.5,1187.85,15.83,14942,1821.97,2170.68,175035,0.44,1.22,608.2,2.98,6.2,1.21,41863
1.35,45679,42767,41756,40240,6191.85,1213.17,16.39,15304.3,1781.1,2150.45,180515,-0.1,0.8,614.65,2.98,6.21,1.18,42162.5
1.31,42767,41756,40240,41199,5821.7,1246.98,17.03,14598.1,1791.52,2073.6,194370,-0.1,0.8,622.66,2.99,6.2,1.17,42585
1.33,41756,40240,41199,41263,5695.5,1292.09,18.07,14638.9,1842.95,2104.9,221360,-0.1,0.8,626.66,3.01,6.22,1.15,42293
1.36,40240,41199,41263,41863,5515,1279.43,17.61,14874.1,1845.2,2106.9,243065,-0.1,0.8,625.64,3.04,6.25,1.13,42275
1.54,41199,41263,41863,42162.5,5678.05,1260.27,17.15,15180.25,1863.8,2138.3,264285,0,1.4,626.19,3.06,6.25,1.14,43572
1.58,41263,41863,42162.5,42585,5681.75,1228.38,16.97,14758.2,1825.23,2126.75,290435,0,1.4,624.03,3.07,6.24,1.13,43575
1.61,41863,42162.5,42585,42293,5731.5,1212.02,16.57,14148.2,1795.15,2078.75,297100,0,1.4,619.2,3.08,6.25,1.14,43593
1.69,42162.5,42585,42293,42275,5825.8,1205.75,16.44,14208.7,1787.1,2047.25,296325,0,1.4,618.78,3.09,6.26,1.13,43589
1.91,42585,42293,42275,43572,5850.25,1195.05,16.19,13947.4,1782.4,2011.2,308830,-0.1,1.4,619.02,3.09,6.27,1.11,43714
1.82,42293,42275,43572,43575,5837.2,1158.77,15.62,14016.7,1750.45,1998.95,329850,-0.1,1.4,634.4,3.09,6.26,1.06,44420
1.77,42275,43572,43575,43593,5863.5,1164.73,15.98,13791.8,1778.05,2006.85,340955,-0.1,1.4,637.49,3.08,6.23,1.07,45950
1.82,43572,43575,43593,43589,6149.4,1195.9,16.96,13735.6,1779.45,2075.2,340520,-0.1,1.4,622.1,3.07,6.21,1.09,45979
1.79,43575,43593,43589,43714,6054.52,1195.21,16.75,12723.23,1782.28,2103.08,333216.67,-0.16,1.46,619.31,3.09,6.2,1.08,45579
1.8,43593,43589,43714,44420,6048.13,1205.43,16.59,12548.27,1773.57,2161.57,331613.33,-0.2,1.5,613.36,3.1,6.2,1.08,44620
1.89,43589,43714,44420,45950,6010.7,1198.89,16.25,12568.8,1813,2200.55,336475,-0.2,1.5,612.74,3.11,6.2,1.07,43740
1.95,43714,44420,45950,45979,5960.95,1191.63,15.88,12764.3,1825.05,2213.65,338250,-0.2,1.5,615.24,3.11,6.2,1.08,43480
